"CountryCode","CountryName","RequestYear","HeadCount","ReqYearPopulation"
"SEN","Senegal",2012,0.09234596,13.703513
"SRB","Serbia",2012,0.02973132,7.199077
"SYC","Seychelles",2012,0.003793199,0.088303
"SLE","Sierra Leone",2012,0.07328745,6.766103
"SVK","Slovak Republic",2012,0.00239073,5.407579
"SVN","Slovenia",2012,0,2.057159
"SLB","Solomon Islands",2012,0.05186223,0.551531
"ZAF","South Africa",2012,0.0403019,52.998213
"SSD","South Sudan",2012,0.459542,10.818258
"ESP","Spain",2012,0.004980747,46.773055
"LKA","Sri Lanka",2012,0.0003796406,20.425
"LCA","St. Lucia",2012,0.02575615,0.174835
"SDN","Sudan",2012,0.01183578,35.990192
"SUR","Suriname",2012,0.1423445,0.537077
"SWE","Sweden",2012,0.004747488,9.519374
"CHE","Switzerland",2012,0,7.996861
"SYR","Syrian Arab Republic",2012,0.0004609272,20.420701
"TJK","Tajikistan",2012,0.003109376,7.995062
"TZA","Tanzania",2012,0.1026887,49.082997
"THA","Thailand",2012,0,67.843979
"TLS","Timor-Leste",2012,0.03608586,1.15676
"TGO","Togo",2012,0.2348449,6.859482
"TON","Tonga",2012,0.0006861194,0.104951
"TTO","Trinidad and Tobago",2012,0.0009061617,1.341588
"TUN","Tunisia",2012,0.0008111833,10.886668
"TUR","Turkey",2012,0,74.569867
"TKM","Turkmenistan",2012,0.002264962,5.267839
"TUV","Tuvalu",2012,0,0.010725
"UGA","Uganda",2012,0.08122435,36.306796
"UKR","Ukraine",2012,0,45.5933
"GBR","United Kingdom",2012,0,63.7003
"USA","United States",2012,0.009963714,313.993272
"URY","Uruguay",2012,0.0002193494,3.396777
"UZB","Uzbekistan",2012,0.04205043,29.7745
"VUT","Vanuatu",2012,0.01573539,0.247485
"VEN","Venezuela, Republica Bolivariana de",2012,0.06466146,29.89308
"VNM","Vietnam",2012,0.001045927,90.451881
"PSE","West Bank and Gaza",2012,0,4.046901
"YEM","Yemen, Republic of",2012,0.01681867,24.909969
"ZMB","Zambia",2012,0.3379873,14.699937
"ZWE","Zimbabwe",2012,0.002881627,14.710826
"ALB","Albania",2011,0.0009893844,2.905195
"DZA","Algeria",2011,0.001077346,36.819558
"AGO","Angola",2011,0.07605196,24.218565
"ARG","Argentina",2011,0.003162771,37.903594
"ARM","Armenia",2011,0.0009817033,2.875581
"AUS","Australia",2011,0.003093274,22.340024
"AUT","Austria",2011,0.002453262,8.391643
"AZE","Azerbaijan",2011,0,9.173082
"BGD","Bangladesh",2011,0.005226213,153.911916
"BLR","Belarus",2011,0,9.473172
"BEL","Belgium",2011,0,11.047744
"BLZ","Belize",2011,0.05705812,0.329192
"BEN","Benin",2011,0.1608767,9.460802
"BTN","Bhutan",2011,0.0008313317,0.74051
"BOL","Bolivia",2011,0.03190856,10.078343
"BIH","Bosnia and Herzegovina",2011,0,3.688865
"BWA","Botswana",2011,0.03641954,2.051339
"BRA","Brazil",2011,0.01892416,198.686688
"BGR","Bulgaria",2011,0.007316873,7.348328
"BFA","Burkina Faso",2011,0.1153885,16.081904
"BDI","Burundi",2011,0.3282956,9.043508
"CPV","Cabo Verde",2011,0.008623117,0.508067
"CMR","Cameroon",2011,0.06838607,20.520447
"CAN","Canada",2011,0.0008245564,34.34278
"CAF","Central African Republic",2011,0.3457707,4.476153
"TCD","Chad",2011,0.1543003,12.288651
"CHL","Chile",2011,0.006474199,17.153357
"CHN","China",2011,0.005914189,1344.13
"CHN","China",2011,0.01088992,665.196496
"CHN","China",2011,0.001039132,678.933504
"COL","Colombia",2011,0.01971387,46.406646
"COM","Comoros",2011,0.0452722,0.706569
"COD","Congo, Democratic Republic of",2011,0.5401959,66.713597
"COG","Congo, Republic of",2011,0.1445265,4.51273
"CRI","Costa Rica",2011,0.005559181,4.600474
"CIV","Cote d'Ivoire",2011,0.1157346,20.895311
"HRV","Croatia",2011,0.002447154,4.280622
"CYP","Cyprus",2011,0,1.124835
"CZE","Czech Republic",2011,0,10.496088
"DNK","Denmark",2011,0,5.570572
"DJI","Djibouti",2011,0.07659214,0.865937
"DOM","Dominican Republic",2011,0.00471562,10.027095
"ECU","Ecuador",2011,0.01544064,15.177355
"EGY","Egypt, Arab Republic of",2011,0.0008286089,85.897561
"SLV","El Salvador",2011,0.004273877,6.19256
"EST","Estonia",2011,0.004979189,1.327439
"SWZ","Eswatini",2011,0.1523865,1.225258
"ETH","Ethiopia",2011,0.0606419,90.046756
"FJI","Fiji",2011,0.0001970583,0.867086
"FIN","Finland",2011,0,5.388272
"FRA","France",2011,0,65.342775
"GAB","Gabon",2011,0.007157306,1.697101
