p20,variable,type,value,filename,iso3,survey_year
FALSE,mortality,denominator,16508.4282175,bdhr3adt,BGD,1996
TRUE,stunting,statistic,,bdhr3adt,BGD,1996
TRUE,stunting,numerator,,bdhr3adt,BGD,1996
TRUE,stunting,denominator,,bdhr3adt,BGD,1996
FALSE,stunting,statistic,,bdhr3adt,BGD,1996
FALSE,stunting,numerator,,bdhr3adt,BGD,1996
FALSE,stunting,denominator,,bdhr3adt,BGD,1996
TRUE,registration,statistic,,bdhr3adt,BGD,1996
TRUE,registration,numerator,,bdhr3adt,BGD,1996
TRUE,registration,denominator,,bdhr3adt,BGD,1996
FALSE,registration,statistic,,bdhr3adt,BGD,1996
FALSE,registration,numerator,,bdhr3adt,BGD,1996
FALSE,registration,denominator,,bdhr3adt,BGD,1996
TRUE,mortality,statistic,,bdhr41dt,BGD,1999
TRUE,mortality,numerator,,bdhr41dt,BGD,1999
TRUE,mortality,denominator,,bdhr41dt,BGD,1999
FALSE,mortality,statistic,0.108293967650001,bdhr41dt,BGD,1999
FALSE,mortality,numerator,1873.112927,bdhr41dt,BGD,1999
FALSE,mortality,denominator,17296.5583185,bdhr41dt,BGD,1999
TRUE,stunting,statistic,,bdhr41dt,BGD,1999
TRUE,stunting,numerator,,bdhr41dt,BGD,1999
TRUE,stunting,denominator,,bdhr41dt,BGD,1999
FALSE,stunting,statistic,,bdhr41dt,BGD,1999
FALSE,stunting,numerator,,bdhr41dt,BGD,1999
FALSE,stunting,denominator,,bdhr41dt,BGD,1999
TRUE,registration,statistic,,bdhr41dt,BGD,1999
TRUE,registration,numerator,,bdhr41dt,BGD,1999
TRUE,registration,denominator,,bdhr41dt,BGD,1999
FALSE,registration,statistic,,bdhr41dt,BGD,1999
FALSE,registration,numerator,,bdhr41dt,BGD,1999
FALSE,registration,denominator,,bdhr41dt,BGD,1999
TRUE,mortality,statistic,,bdhr4jdt,BGD,2002
TRUE,mortality,numerator,,bdhr4jdt,BGD,2002
TRUE,mortality,denominator,,bdhr4jdt,BGD,2002
FALSE,mortality,statistic,0.0962368710109163,bdhr4jdt,BGD,2002
FALSE,mortality,numerator,1696.336049,bdhr4jdt,BGD,2002
FALSE,mortality,denominator,17626.675007,bdhr4jdt,BGD,2002
TRUE,stunting,statistic,,bdhr4jdt,BGD,2002
TRUE,stunting,numerator,,bdhr4jdt,BGD,2002
TRUE,stunting,denominator,,bdhr4jdt,BGD,2002
FALSE,stunting,statistic,,bdhr4jdt,BGD,2002
FALSE,stunting,numerator,,bdhr4jdt,BGD,2002
FALSE,stunting,denominator,,bdhr4jdt,BGD,2002
TRUE,registration,statistic,,bdhr4jdt,BGD,2002
TRUE,registration,numerator,,bdhr4jdt,BGD,2002
TRUE,registration,denominator,,bdhr4jdt,BGD,2002
FALSE,registration,statistic,,bdhr4jdt,BGD,2002
FALSE,registration,numerator,,bdhr4jdt,BGD,2002
FALSE,registration,denominator,,bdhr4jdt,BGD,2002
TRUE,mortality,statistic,0.111812940890812,bdhr51dt,BGD,2005
TRUE,mortality,numerator,5.336911,bdhr51dt,BGD,2005
TRUE,mortality,denominator,47.7307095,bdhr51dt,BGD,2005
FALSE,mortality,statistic,0.076336567203954,bdhr51dt,BGD,2005
FALSE,mortality,numerator,1179.7592775,bdhr51dt,BGD,2005
FALSE,mortality,denominator,15454.7069735,bdhr51dt,BGD,2005
TRUE,stunting,statistic,0.683128827425677,bdhr51dt,BGD,2005
TRUE,stunting,numerator,9.978292,bdhr51dt,BGD,2005
TRUE,stunting,denominator,14.60675,bdhr51dt,BGD,2005
FALSE,stunting,statistic,0.435640291497057,bdhr51dt,BGD,2005
FALSE,stunting,numerator,2356.240572,bdhr51dt,BGD,2005
FALSE,stunting,denominator,5408.683765,bdhr51dt,BGD,2005
TRUE,registration,statistic,,bdhr51dt,BGD,2005
TRUE,registration,numerator,,bdhr51dt,BGD,2005
TRUE,registration,denominator,,bdhr51dt,BGD,2005
FALSE,registration,statistic,,bdhr51dt,BGD,2005
FALSE,registration,numerator,,bdhr51dt,BGD,2005
FALSE,registration,denominator,,bdhr51dt,BGD,2005
TRUE,mortality,statistic,0.118045090028049,bdhr61dt,BGD,2011
TRUE,mortality,numerator,12.7649755,bdhr61dt,BGD,2011
TRUE,mortality,denominator,108.1364375,bdhr61dt,BGD,2011
FALSE,mortality,statistic,0.0631609736219727,bdhr61dt,BGD,2011
FALSE,mortality,numerator,1459.848039,bdhr61dt,BGD,2011
FALSE,mortality,denominator,23113.133875,bdhr61dt,BGD,2011
TRUE,stunting,statistic,0.531467322250439,bdhr61dt,BGD,2011
TRUE,stunting,numerator,18.099953,bdhr61dt,BGD,2011
TRUE,stunting,denominator,34.056568,bdhr61dt,BGD,2011
FALSE,stunting,statistic,0.413327274440945,bdhr61dt,BGD,2011
FALSE,stunting,numerator,3313.640647,bdhr61dt,BGD,2011
FALSE,stunting,denominator,8016.990051,bdhr61dt,BGD,2011
TRUE,registration,statistic,0.321604364689988,bdhr61dt,BGD,2011
TRUE,registration,numerator,12.573067,bdhr61dt,BGD,2011
TRUE,registration,denominator,39.094827,bdhr61dt,BGD,2011
FALSE,registration,statistic,0.307366434215642,bdhr61dt,BGD,2011
FALSE,registration,numerator,2855.349519,bdhr61dt,BGD,2011
FALSE,registration,denominator,9289.72458,bdhr61dt,BGD,2011
TRUE,mortality,statistic,0.0895301590069311,bdhr72dt,BGD,2013
TRUE,mortality,numerator,6.983048,bdhr72dt,BGD,2013
TRUE,mortality,denominator,77.9966,bdhr72dt,BGD,2013
FALSE,mortality,statistic,0.0554726479813399,bdhr72dt,BGD,2013
FALSE,mortality,numerator,1193.8456555,bdhr72dt,BGD,2013
FALSE,mortality,denominator,21521.338875,bdhr72dt,BGD,2013
TRUE,stunting,statistic,0.425164652476997,bdhr72dt,BGD,2013
TRUE,stunting,numerator,9.932345,bdhr72dt,BGD,2013
TRUE,stunting,denominator,23.361173,bdhr72dt,BGD,2013
FALSE,stunting,statistic,0.363728329250441,bdhr72dt,BGD,2013
FALSE,stunting,numerator,2681.670024,bdhr72dt,BGD,2013
FALSE,stunting,denominator,7372.727963,bdhr72dt,BGD,2013
TRUE,registration,statistic,0.154166738895251,bdhr72dt,BGD,2013
TRUE,registration,numerator,3.939799,bdhr72dt,BGD,2013
TRUE,registration,denominator,25.555441,bdhr72dt,BGD,2013
FALSE,registration,statistic,0.203734610049884,bdhr72dt,BGD,2013
FALSE,registration,numerator,1728.706263,bdhr72dt,BGD,2013
FALSE,registration,denominator,8485.088825,bdhr72dt,BGD,2013
TRUE,mortality,statistic,0.10241348369488,bfhr21dt,BFA,1993
TRUE,mortality,numerator,11.205352,bfhr21dt,BFA,1993
TRUE,mortality,denominator,109.4128585,bfhr21dt,BFA,1993
FALSE,mortality,statistic,0.184689744773311,bfhr21dt,BFA,1993
FALSE,mortality,numerator,2673.264891,bfhr21dt,BFA,1993
FALSE,mortality,denominator,14474.354785,bfhr21dt,BFA,1993
TRUE,stunting,statistic,,bfhr21dt,BFA,1993
TRUE,stunting,numerator,,bfhr21dt,BFA,1993
TRUE,stunting,denominator,,bfhr21dt,BFA,1993
FALSE,stunting,statistic,,bfhr21dt,BFA,1993
FALSE,stunting,numerator,,bfhr21dt,BFA,1993
